Observation Location,RSS,XML,State,latitude,longitude
"Gainesville, Gilmer Memorial Airport (KGVL)",KGVL.rss,KGVL.xml,GA,34.27194,-83.83028
Gilmer County Airport (K49A),K49A.rss,K49A.xml,GA,34.6301,-84.5271
"Greensboro, Greene County Regional Airport (K3J7)",K3J7.rss,K3J7.xml,GA,33.5975,-83.13889
Griffin Spalding County Airport (K6A2),K6A2.rss,K6A2.xml,GA,33.227,-84.2749
Gwinnett County Airport-Briscoe Field (KLZU),KLZU.rss,KLZU.xml,GA,33.98288,-83.95842
Hazlehurst Airport (KAZE),KAZE.rss,KAZE.xml,GA,31.8847,-82.6474
Henry County Airport (KHMP),KHMP.rss,KHMP.xml,GA,33.3899,-84.331
Homerville Airport (KHOE),KHOE.rss,KHOE.xml,GA,31.0559,-82.7741
Hunter U. S. Army Airfield (KSVN),KSVN.rss,KSVN.xml,GA,32.01667,-81.15
Jackson County Airport (KJCA),KJCA.rss,KJCA.xml,GA,34.17586,-83.5616
Jasper Pickens County Airport (KJZP),KJZP.rss,KJZP.xml,GA,34.45417,-84.45971
Jesup-Wayne County Airport (KJES),KJES.rss,KJES.xml,GA,31.554,-81.8825
LaGrange-Callaway Airport (KLGC),KLGC.rss,KLGC.xml,GA,33.00617,-85.06609
Louisville Municipal Airport (K2J3),K2J3.rss,K2J3.xml,GA,32.98594,-82.38481
Marietta / Dobbins Air Force Base (KMGE),KMGE.rss,KMGE.xml,GA,33.91667,-84.51667
Metter Municipal Airport (KMHP),KMHP.rss,KMHP.xml,GA,32.37397,-82.08144
Middle Georgia Regional Airport (KMCN),KMCN.rss,KMCN.xml,GA,32.68892,-83.65293
"Milledgeville, Baldwin County Airport (KMLJ)",KMLJ.rss,KMLJ.xml,GA,33.15417,-83.24056
Millen Airport (K2J5),K2J5.rss,K2J5.xml,GA,32.8935,-81.9654
Monroe-Walton County Airport (KD73),KD73.rss,KD73.xml,GA,33.78253,-83.69281
Moody Air Force Base (KVAD),KVAD.rss,KVAD.xml,GA,30.97913,-83.19247
"Moultrie, Moultrie Municipal Airport (KMGR)",KMGR.rss,KMGR.xml,GA,31.08472,-83.80306
"Newnan, Newnan Coweta County Airport (KCCO)",KCCO.rss,KCCO.xml,GA,33.31222,-84.77028
Perry-Houston County Airport (KPXE),KPXE.rss,KPXE.xml,GA,32.5106,-83.7673
Pine Mountain Harris County Airport (KPIM),KPIM.rss,KPIM.xml,GA,32.8407,-84.8824
"Rome, R. B. Russell Airport (KRMG)",KRMG.rss,KRMG.xml,GA,34.34778,-85.16111
Sandersville Kaolin Field Airport (KOKZ),KOKZ.rss,KOKZ.xml,GA,32.9667,-82.8382
Savannah-Hilton Head International Airport (KSAV),KSAV.rss,KSAV.xml,GA,32.13137,-81.20226
Southwest Georgia Regional Airport (KABY),KABY.rss,KABY.xml,GA,31.53652,-84.19571
"Statesboro, Statesboro-Bulloch County Airport (KTBR)",KTBR.rss,KTBR.xml,GA,32.48306,-81.73722
Swainsboro Emanuel County Airport (KSBO),KSBO.rss,KSBO.xml,GA,32.6091,-82.3699
Swinton Smith Field at Reidsville Municipal Airport (KRVJ),KRVJ.rss,KRVJ.xml,GA,32.05949,-82.15358
"Sylvania, Plantation Airpark (KJYL)",KJYL.rss,KJYL.xml,GA,32.64528,-81.59639
"Thomaston, Thomaston-Upson County Airport (KOPN)",KOPN.rss,KOPN.xml,GA,32.955,-84.26444
Thomasville Regional Airport (KTVI),KTVI.rss,KTVI.xml,GA,30.90179,-83.88113
"Thomson, Thomson-McDuffie County Airport (KHQU)",KHQU.rss,KHQU.xml,GA,33.52944,-82.51639
Tifton Henry Tift Myers (KTMA),KTMA.rss,KTMA.xml,GA,31.429,-83.4885
Toccoa Le Tourneau Airport (KTOC),KTOC.rss,KTOC.xml,GA,34.5928,-83.2964
Valdosta Regional Airport (KVLD),KVLD.rss,KVLD.xml,GA,30.77632,-83.27389
"Vidalia, Vidalia Municipal Airport (KVDI)",KVDI.rss,KVDI.xml,GA,32.1925,-82.37194
Warner Robins Air Force Base (KWRB),KWRB.rss,KWRB.xml,GA,32.63333,-83.6
"Washington, Washington-Wilkes County Airport (KIIY)",KIIY.rss,KIIY.xml,GA,33.77972,-82.81639
"Waycross / Ware County, Ga (KAYS)",KAYS.rss,KAYS.xml,GA,31.25,-82.4
"Winder, Winder-Barrow Airport (KWDR)",KWDR.rss,KWDR.xml,GA,33.98222,-83.66806
Wright Army Airfield (Fort Stewart)/Midcoast Regional Airport (KLHW),KLHW.rss,KLHW.xml,GA,31.88724,-81.56244
"Andersen, Mariana Is, Andersen Air Force Base (PGUA)",PGUA.rss,PGUA.xml,GU,13.58333,144.93333
Guam International Airport (PGUM),PGUM.rss,PGUM.xml,GU,13.48395,144.79712
"Wake Island, Wake Island Army Airfield Airport (PWAK)",PWAK.rss,PWAK.xml,GU,19.28333,166.65
Bradshaw Army Air Field / Hawaii (PHSF),PHSF.rss,PHSF.xml,HI,19.78333,-155.55
Daniel K Inouye International Airport (PHNL),PHNL.rss,PHNL.xml,HI,21.3275,-157.94306
"Hilo, Hilo International Airport (PHTO)",PHTO.rss,PHTO.xml,HI,19.72222,-155.05583
"Kahului, Kahului Airport (PHOG)",PHOG.rss,PHOG.xml,HI,20.8925,-156.43694
"Kailua / Kona, Keahole Airport (PHKO)",PHKO.rss,PHKO.xml,HI,19.74083,-156.05056
"Kaneohe, Marine Corps Air Station (PHNG)",PHNG.rss,PHNG.xml,HI,21.45389,-157.76556
"Kaunakakai, Molokai Airport (PHMK)",PHMK.rss,PHMK.xml,HI,21.15,-157.1
"Kekaha, Pacific Missile Test Facility Barking Sands (PHBK)",PHBK.rss,PHBK.xml,HI,22.03639,-159.78639
Lahaina - West Maui (PHJH),PHJH.rss,PHJH.xml,HI,20.96307,-156.67466
"Lanai City, Lanai Airport (PHNY)",PHNY.rss,PHNY.xml,HI,20.78556,-156.95139
"Lihue, Lihue Airport (PHLI)",PHLI.rss,PHLI.xml,HI,21.98389,-159.34111
"Oahu, Kalaeloa Airport (PHJR)",PHJR.rss,PHJR.xml,HI,21.30833,-158.06806
Wheeler Air Force Base / Oahu (PHHI),PHHI.rss,PHHI.xml,HI,21.48333,-158.03333
Bear Lake County Airport (K1U7),K1U7.rss,K1U7.xml,ID,42.2497,-111.3416
Boise Air Terminal (KBOI),KBOI.rss,KBOI.xml,ID,43.56704,-116.24053
Boundary County Airport (K65S),K65S.rss,K65S.xml,ID,48.726,-116.2952
Burley Municipal Airport (KBYI),KBYI.rss,KBYI.xml,ID,42.54525,-113.7686
Caldwell - Caldwell Industrial Airport (KEUL),KEUL.rss,KEUL.xml,ID,43.64055,-116.63017
Challis - Challis Airport (KLLJ),KLLJ.rss,KLLJ.xml,ID,44.523,-114.21611
Coeur d'Alene Airport - Pappy Boyington Field (KCOE),KCOE.rss,KCOE.xml,ID,47.76667,-116.81667
"Driggs, Driggs-Reed Memorial Airport (KDIJ)",KDIJ.rss,KDIJ.xml,ID,43.74167,-111.09778
Gooding Municipal Airport (KGNG),KGNG.rss,KGNG.xml,ID,42.91716,-114.76516
Grangeville - Idaho County Airport (KGIC),KGIC.rss,KGIC.xml,ID,45.94111,-116.13257
"Hailey, Friedman Memorial Airport (KSUN)",KSUN.rss,KSUN.xml,ID,43.5,-114.3
Idaho Falls Regional Airport (KIDA),KIDA.rss,KIDA.xml,ID,43.52083,-112.06611
Jerome County Airport (KJER),KJER.rss,KJER.xml,ID,42.72736,-114.45469
Joslin Field - Magic Valley Regional Airport (KTWF),KTWF.rss,KTWF.xml,ID,42.4785,-114.47739
"Lewiston, Lewiston-Nez Perce County Airport (KLWS)",KLWS.rss,KLWS.xml,ID,46.37472,-117.01444
Lowell (KP69),KP69.rss,KP69.xml,ID,46.14417,-115.59639
McCall Airport (KMYL),KMYL.rss,KMYL.xml,ID,44.89425,-116.09978
Mountain Home Air Force Base (KMUO),KMUO.rss,KMUO.xml,ID,43.05,-115.86667
Nampa Municipal Airport (KMAN),KMAN.rss,KMAN.xml,ID,43.5813,-116.5231
"Pocatello, Pocatello Regional Airport (KPIH)",KPIH.rss,KPIH.xml,ID,42.92028,-112.57111
"Rexburg, Rexburg-Madison County Airport (KRXE)",KRXE.rss,KRXE.xml,ID,43.83167,-111.80611
"Salmon, Lemhi County Airport (KSMN)",KSMN.rss,KSMN.xml,ID,45.11667,-113.88333
"Sandpoint, Sandpoint Airport (KSZT)",KSZT.rss,KSZT.xml,ID,48.29944,-116.56
"Stanley, Stanley Ranger Station (KSNT)",KSNT.rss,KSNT.xml,ID,44.20861,-114.93444
Albertus Airport (KFEP),KFEP.rss,KFEP.xml,IL,42.24751,-89.58104
Aurora Municipal Airport (KARR),KARR.rss,KARR.xml,IL,41.77132,-88.48147
"Belleville, Scott AFB/MidAmerica Airport (KBLV)",KBLV.rss,KBLV.xml,IL,38.55,-89.85
"Bloomington/Normal, Central Illinois Regional Airport at Bloomington-Normal (KBMI)",KBMI.rss,KBMI.xml,IL,40.47694,-88.91583
Cairo Regional Airport (KCIR),KCIR.rss,KCIR.xml,IL,37.06388,-89.2232
Carmi Municipal Airport (KCUL),KCUL.rss,KCUL.xml,IL,38.08875,-88.12125
Centralia Municipal Airport (KENL),KENL.rss,KENL.xml,IL,38.50951,-89.08996
"Chicago / West Chicago, Dupage Airport (KDPA)",KDPA.rss,KDPA.xml,IL,41.89639,-88.25111
"Chicago / Wheeling, Pal-Waukee Airport (KPWK)",KPWK.rss,KPWK.xml,IL,42.12083,-87.90472
"Chicago, Chicago Midway Airport (KMDW)",KMDW.rss,KMDW.xml,IL,41.78417,-87.75528
"Chicago, Chicago-O'Hare International Airport (KORD)",KORD.rss,KORD.xml,IL,41.97972,-87.90444
Chicago/Waukegan Regional Airport (KUGN),KUGN.rss,KUGN.xml,IL,42.42546,-87.86339
"Danville, Vermilion County Airport (KDNV)",KDNV.rss,KDNV.xml,IL,40.19944,-87.59556
De Kalb Taylor Municipal Airport (KDKB),KDKB.rss,KDKB.xml,IL,41.93381,-88.70657
Decatur Airport (KDEC),KDEC.rss,KDEC.xml,IL,39.8308,-88.87192
Edgar County Airport (KPRG),KPRG.rss,KPRG.xml,IL,39.69817,-87.6669
"Effingham, Effingham County Memorial Airport (K1H2)",K1H2.rss,K1H2.xml,IL,39.07056,-88.53333
"Fairfield, Fairfield Municipal Airport (KFWC)",KFWC.rss,KFWC.xml,IL,38.37861,-88.41278
Flora Municipal Airport (KFOA),KFOA.rss,KFOA.xml,IL,38.66726,-88.4527
Galesburg Municipal Airport (KGBG),KGBG.rss,KGBG.xml,IL,40.9329,-90.43339
Greater Kankakee Airport (KIKK),KIKK.rss,KIKK.xml,IL,41.06871,-87.85372
Harrisburg-Raleigh Airport (KHSB),KHSB.rss,KHSB.xml,IL,37.81281,-88.54486
Illinois Valley Regional Airport (KVYS),KVYS.rss,KVYS.xml,IL,41.35175,-89.14963
Jacksonville Municipal Airport (KIJX),KIJX.rss,KIJX.xml,IL,39.77401,-90.24187
Joliet Regional Airport (KJOT),KJOT.rss,KJOT.xml,IL,41.51755,-88.17903
Lansing Municipal Airport (KIGQ),KIGQ.rss,KIGQ.xml,IL,41.54125,-87.52822
Lawrenceville-Vincennes International Airport (KLWV),KLWV.rss,KLWV.xml,IL,38.76046,-87.59903
Lewis University Airport (KLOT),KLOT.rss,KLOT.xml,IL,41.60307,-88.10164
Litchfield Municipal Airport (K3LF),K3LF.rss,K3LF.xml,IL,39.16052,-89.67419
Logan County Airport (KAAA),KAAA.rss,KAAA.xml,IL,40.15885,-89.33891
Macomb Municipal Airport (KMQB),KMQB.rss,KMQB.xml,IL,40.51763,-90.64807
Marion - Williamson County Regional Airport (KMWA),KMWA.rss,KMWA.xml,IL,37.76671,-89.00993
Marshall County Airport (KC75),KC75.rss,KC75.xml,IL,41.02307,-89.38854
"Mattoon / Charleston, Coles County Memorial Airport (KMTO)",KMTO.rss,KMTO.xml,IL,39.47806,-88.27917
Moline Quad-City Airport (KMLI),KMLI.rss,KMLI.xml,IL,41.4482,-90.52359
Morris Muni-James R Washburn Field Airport (KC09),KC09.rss,KC09.xml,IL,41.43164,-88.41519
"Mount Carmel, Mount Carmel Municipal Airport (KAJG)",KAJG.rss,KAJG.xml,IL,38.60928,-87.72508
"Mount Sterling, Mount Sterling Municipal Airport (KI63)",KI63.rss,KI63.xml,IL,39.9875,-90.80417
Mount Vernon Airport (KMVN),KMVN.rss,KMVN.xml,IL,38.32842,-88.85292
Olney-Noble Airport (KOLY),KOLY.rss,KOLY.xml,IL,38.72133,-88.1799
Peoria - General Downing-Peoria International Airport (KPIA),KPIA.rss,KPIA.xml,IL,40.6675,-89.68389
"Pittsfield, Pittsfield Penstone Municipal Airport (KPPQ)",KPPQ.rss,KPPQ.xml,IL,39.63889,-90.77833
Pontiac Municipal Airport (KPNT),KPNT.rss,KPNT.xml,IL,40.92327,-88.6213
Quincy Regional Airport-Baldwin Field (KUIN),KUIN.rss,KUIN.xml,IL,39.9371,-91.19659
Rantoul National Aviation Center Airport (KTIP),KTIP.rss,KTIP.xml,IL,40.28952,-88.1473
Robinson Municipal Airport (KRSV),KRSV.rss,KRSV.xml,IL,39.01361,-87.64846
"Rochelle, Rochelle Municipal-Koritz Field Airport (KRPJ)",KRPJ.rss,KRPJ.xml,IL,41.89057,-89.08175
"Rockford, Greater Rockford Airport (KRFD)",KRFD.rss,KRFD.xml,IL,42.19278,-89.09333
"Salem, Salem-Leckrone Airport (KSLO)",KSLO.rss,KSLO.xml,IL,38.64278,-88.96417
Schaumburg Regional Airport (K06C),K06C.rss,K06C.xml,IL,41.98934,-88.10124
Southern Illinois Airport (KMDH),KMDH.rss,KMDH.xml,IL,37.78328,-89.24532
Springfield - Abraham Lincoln Capital Airport (KSPI),KSPI.rss,KSPI.xml,IL,39.84527,-89.68405
St. Louis Downtown Airport (KCPS),KCPS.rss,KCPS.xml,IL,38.56403,-90.14871
St. Louis Regional Airport (KALN),KALN.rss,KALN.xml,IL,38.88968,-90.03163
Sterling Rockfalls (KSQI),KSQI.rss,KSQI.xml,IL,41.7432,-89.66547
"Taylorville, Taylorville Municipal Airport (KTAZ)",KTAZ.rss,KTAZ.xml,IL,39.53417,-89.32778
Tri-Township Airport (KSFY),KSFY.rss,KSFY.xml,IL,42.04544,-90.11009
University of Illinois - Willard (KCMI),KCMI.rss,KCMI.xml,IL,40.03245,-88.27547
Anderson Municipal Airport (KAID),KAID.rss,KAID.xml,IN,40.10612,-85.60977
Angola Tri-State Steuben County Airport (KANQ),KANQ.rss,KANQ.xml,IN,41.6404,-85.0851
Auburn De Kalb County Airport (KGWB),KGWB.rss,KGWB.xml,IN,41.307,-85.064
Batesville Airport (KHLB),KHLB.rss,KHLB.xml,IN,39.34313,-85.25843
"Bloomington, Monroe County Airport (KBMG)",KBMG.rss,KBMG.xml,IN,39.14306,-86.61667
Clark Regional Airport (KJVY),KJVY.rss,KJVY.xml,IN,38.36661,-85.73814
Columbus / Bakalar (KBAK),KBAK.rss,KBAK.xml,IN,39.26667,-85.9
Crawfordsville Municipal Airport (KCFJ),KCFJ.rss,KCFJ.xml,IN,39.9756,-86.9199
Daviess County Airport (KDCY),KDCY.rss,KDCY.xml,IN,38.7004,-87.1297
Elkhart Municipal (KEKM),KEKM.rss,KEKM.xml,IN,41.71667,-86
"Evansville, Evansville Regional Airport (KEVV)",KEVV.rss,KEVV.xml,IN,38.04306,-87.52028
Fort Wayne International Airport (KFWA),KFWA.rss,KFWA.xml,IN,40.97251,-85.20637
Frankfort Municipal Airport (KFKR),KFKR.rss,KFKR.xml,IN,40.2734,-86.5622
Gary Regional Airport (KGYY),KGYY.rss,KGYY.xml,IN,41.61212,-87.40908
"Goshen, Goshen Municipal Airport (KGSH)",KGSH.rss,KGSH.xml,IN,41.52611,-85.78667
Greenwood Municipal Airport (KHFY),KHFY.rss,KHFY.xml,IN,39.6276,-86.088
Grissom Air Force Base / Peru (KGUS),KGUS.rss,KGUS.xml,IN,40.65,-86.15
Huntingburg (KHNB),KHNB.rss,KHNB.xml,IN,38.25,-86.95
Huntington Municipal Airport (KHHG),KHHG.rss,KHHG.xml,IN,40.8529,-85.4571
INDIANAPOLIS (KTYQ),KTYQ.rss,KTYQ.xml,IN,40.03066,-86.2515
Indianapolis International Airport (KIND),KIND.rss,KIND.xml,IN,39.72518,-86.2816
Indianapolis Mount Comfort Airport (KMQJ),KMQJ.rss,KMQJ.xml,IN,39.8435,-85.8971
"Indianapolis, Eagle Creek Airpark (KEYE)",KEYE.rss,KEYE.xml,IN,39.825,-86.29583
Kendallville Municipal Airport (KC62),KC62.rss,KC62.xml,IN,41.4739,-85.2541
"Kokomo, Kokomo Municipal Airport (KOKK)",KOKK.rss,KOKK.xml,IN,40.53333,-86.06667
La Porte Municipal Airport (KPPO),KPPO.rss,KPPO.xml,IN,41.5725,-86.7345
"Lafayette, Purdue University Airport (KLAF)",KLAF.rss,KLAF.xml,IN,40.4125,-86.9475
Logansport/Cass County Airport (KGGP),KGGP.rss,KGGP.xml,IN,40.711,-86.373
Madison Municipal Airport (KIMS),KIMS.rss,KIMS.xml,IN,38.7589,-85.4655
Marion Municipal Airport (KMZZ),KMZZ.rss,KMZZ.xml,IN,40.49,-85.68
Michigan City Municipal Airport (KMGC),KMGC.rss,KMGC.xml,IN,41.7033,-86.8212
Monticello White County Airport (KMCX),KMCX.rss,KMCX.xml,IN,40.7088,-86.7668
"Muncie, Delaware County-Johnson Field (KMIE)",KMIE.rss,KMIE.xml,IN,40.23417,-85.39361
Plymouth (KC65),KC65.rss,KC65.xml,IN,41.36667,-86.3
Portland Municipal Airport (KPLD),KPLD.rss,KPLD.xml,IN,40.45158,-84.98903
Putnam County Regional Airport (KGPC),KGPC.rss,KGPC.xml,IN,39.6354,-86.8155
Rensselaer Jasper County Airport (KRZL),KRZL.rss,KRZL.xml,IN,40.94789,-87.18258
Richmond Municipal Airport (KRID),KRID.rss,KRID.xml,IN,39.7572,-84.8428
Rochester Fulton County Airport (KRCR),KRCR.rss,KRCR.xml,IN,41.06553,-86.18169
Shelbyville Municipal Airport (KGEZ),KGEZ.rss,KGEZ.xml,IN,39.58546,-85.79982
South Bend International Airport (KSBN),KSBN.rss,KSBN.xml,IN,41.70889,-86.31861
Starke County Airport (KOXI),KOXI.rss,KOXI.xml,IN,41.33,-86.665
Terre Haute Regional Airport (KHUF),KHUF.rss,KHUF.xml,IN,39.4429,-87.32207
Valparaiso Porter County Municipal Airport (KVPZ),KVPZ.rss,KVPZ.xml,IN,41.45349,-86.99805
"Warsaw, Warsaw Municipal Airport (KASW)",KASW.rss,KASW.xml,IN,41.27444,-85.84
Algona (KAXA),KAXA.rss,KAXA.xml,IA,43.08333,-94.26667
"Ames, Ames Municipal Airport (KAMW)",KAMW.rss,KAMW.xml,IA,41.99056,-93.61889
Ankeny Regional Airport (KIKV),KIKV.rss,KIKV.xml,IA,41.68782,-93.56944
Atlantic (KAIO),KAIO.rss,KAIO.xml,IA,41.4,-95.05
"Audubon, Audubon County Airport (KADU)",KADU.rss,KADU.xml,IA,41.70111,-94.92028
Boone Municipal (KBNW),KBNW.rss,KBNW.xml,IA,42.05,-93.85
Burlington Regional Airport (KBRL),KBRL.rss,KBRL.xml,IA,40.77293,-91.12543
Carroll (KCIN),KCIN.rss,KCIN.xml,IA,42.05,-94.78333
Cedar Rapids Airport (KCID),KCID.rss,KCID.xml,IA,41.88295,-91.72456
Centerville Municipal Airport (KTVK),KTVK.rss,KTVK.xml,IA,40.6839,-92.901
Chariton (KCNC),KCNC.rss,KCNC.xml,IA,41.03333,-93.36667
Charles City (KCCY),KCCY.rss,KCCY.xml,IA,43.06667,-92.61667
"Cherokee, Cherokee Municipal Airport (KCKP)",KCKP.rss,KCKP.xml,IA,42.73167,-95.55583
Clarion (KCAV),KCAV.rss,KCAV.xml,IA,42.75,-93.76667
Clinton Municipal Airport (KCWI),KCWI.rss,KCWI.xml,IA,41.82954,-90.33279
Council Bluffs (KCBF),KCBF.rss,KCBF.xml,IA,41.26125,-95.7604
Creston Municipal Airport (KCSQ),KCSQ.rss,KCSQ.xml,IA,41.01886,-94.361
Davenport Municipal Airport (KDVN),KDVN.rss,KDVN.xml,IA,41.61338,-90.59479
Decorah (KDEH),KDEH.rss,KDEH.xml,IA,43.28333,-91.73333
Denison (KDNS),KDNS.rss,KDNS.xml,IA,41.98333,-95.38333
Des Moines International Airport (KDSM),KDSM.rss,KDSM.xml,IA,41.53399,-93.65307
Dubuque Regional Airport (KDBQ),KDBQ.rss,KDBQ.xml,IA,42.39837,-90.7091
"Estherville, Estherville Municipal Airport (KEST)",KEST.rss,KEST.xml,IA,43.40111,-94.74722
Fairfield Municipal Airport (KFFL),KFFL.rss,KFFL.xml,IA,41.0521,-91.98339
Forest City Municipal Airport (KFXY),KFXY.rss,KFXY.xml,IA,43.235,-93.624
Fort Dodge (KFOD),KFOD.rss,KFOD.xml,IA,42.55,-94.18333
Fort Madison Municipal Airport (KFSW),KFSW.rss,KFSW.xml,IA,40.66154,-91.32672
Grinnell Municipal Airfield (KGGI),KGGI.rss,KGGI.xml,IA,41.7092,-92.7349
Hampton Municipal Airport (KHPT),KHPT.rss,KHPT.xml,IA,42.72369,-93.22633
"Harlan, Harlan Municipal Airport (KHNR)",KHNR.rss,KHNR.xml,IA,41.58444,-95.33972
"Independence, Independence Municipal Airport (KIIB)",KIIB.rss,KIIB.xml,IA,42.45,-91.93333
Iowa City Municipal Airport (KIOW),KIOW.rss,KIOW.xml,IA,41.63945,-91.5445
Iowa Falls Municipal Airport (KIFA),KIFA.rss,KIFA.xml,IA,42.471,-93.27
Keokuk Municipal Airport (KEOK),KEOK.rss,KEOK.xml,IA,40.46149,-91.42739
Knoxville (KOXV),KOXV.rss,KOXV.xml,IA,41.3,-93.11667
"Lamoni, Lamoni Municipal Airport (KLWD)",KLWD.rss,KLWD.xml,IA,40.63056,-93.90083
Le Mars Municipal Airport (KLRJ),KLRJ.rss,KLRJ.xml,IA,42.77478,-96.19239
"Marshalltown, Marshalltown Municipal Airport (KMIW)",KMIW.rss,KMIW.xml,IA,42.11056,-92.91611
Mason City Municipal Airport (KMCW),KMCW.rss,KMCW.xml,IA,43.15442,-93.32607
Monticello Regional Airport (KMXO),KMXO.rss,KMXO.xml,IA,42.22035,-91.16041
"Mount Pleasant, Mount Pleasant Municipal Airport (KMPZ)",KMPZ.rss,KMPZ.xml,IA,40.94667,-91.51111
Muscatine (KMUT),KMUT.rss,KMUT.xml,IA,41.36667,-91.15
Newton Municipal Airport - Earl Johnson Field (KTNU),KTNU.rss,KTNU.xml,IA,41.67014,-93.01902
Oelwein Municipal Airport (KOLZ),KOLZ.rss,KOLZ.xml,IA,42.68316,-91.97595
Osceola Municipal Airport (KI75),KI75.rss,KI75.xml,IA,41.05222,-93.68966
"Oskaloosa, Oskaloosa Municipal Airport (KOOA)",KOOA.rss,KOOA.xml,IA,41.22611,-92.49361
Ottumwa Regional Airport (KOTM),KOTM.rss,KOTM.xml,IA,41.10082,-92.44451
"Pella, Pella Municipal Airport (KPEA)",KPEA.rss,KPEA.xml,IA,41.4,-92.93333
Perry Municipal Airport (KPRO),KPRO.rss,KPRO.xml,IA,41.828,-94.1599
Red Oak (KRDK),KRDK.rss,KRDK.xml,IA,41.01667,-95.26667
Schenck Field Airport (KICL),KICL.rss,KICL.xml,IA,40.72421,-95.02224
Sheldon (KSHL),KSHL.rss,KSHL.xml,IA,43.21667,-95.83333
Shenandoah Municipal (KSDA),KSDA.rss,KSDA.xml,IA,40.75,-95.41667
"Sioux City, Sioux Gateway Airport (KSUX)",KSUX.rss,KSUX.xml,IA,42.4025,-96.38444
Sioux County Regional Airport (KSXK),KSXK.rss,KSXK.xml,IA,42.98583,-96.1614
Spencer Municipal Airport (KSPW),KSPW.rss,KSPW.xml,IA,43.16825,-95.21008
Storm Lake (KSLB),KSLB.rss,KSLB.xml,IA,42.6,-95.23333
"Vinton, Vinton Veterans Memorial Airpark Airport (KVTI)",KVTI.rss,KVTI.xml,IA,42.21861,-92.02583
Washington (KAWG),KAWG.rss,KAWG.xml,IA,41.28333,-91.66667
"Waterloo, Waterloo Municipal Airport (KALO)",KALO.rss,KALO.xml,IA,42.55444,-92.40111
Webster City Municipal Airport (KEBS),KEBS.rss,KEBS.xml,IA,42.43724,-93.87237
Allen County Airport (KK88),KK88.rss,KK88.xml,KS,37.8682,-95.3869
Atkinson Municipal Airport (KPTS),KPTS.rss,KPTS.xml,KS,37.4494,-94.7311
Atwood-Rawlins County City-County Airport (KADT),KADT.rss,KADT.xml,KS,39.84034,-101.04248
Augusta Municipal Airport (K3AU),K3AU.rss,K3AU.xml,KS,37.6716,-97.0779
Beech Factory Airport (KBEC),KBEC.rss,KBEC.xml,KS,37.69392,-97.21492
Benton Lloyd Stearman Field (K1K1),K1K1.rss,K1K1.xml,KS,37.7744,-97.1132
"Chanute, Chanute Martin Johnson Airport (KCNU)",KCNU.rss,KCNU.xml,KS,37.67028,-95.48417
Coffey County Airport (KUKL),KUKL.rss,KUKL.xml,KS,38.30247,-95.72497
"Coffeyville, Coffeyville Municipal Airport (KCFV)",KCFV.rss,KCFV.xml,KS,37.09111,-95.56639
Colby Shaltz Field Airport (KCBK),KCBK.rss,KCBK.xml,KS,39.43,-101.0511
"Concordia, Blosser Municipal Airport (KCNK)",KCNK.rss,KCNK.xml,KS,39.55139,-97.65056
"Dodge City, Dodge City Regional Airport (KDDC)",KDDC.rss,KDDC.xml,KS,37.77278,-99.96972
El Dorado Captain Jack Thomas Airport (KEQA),KEQA.rss,KEQA.xml,KS,37.77534,-96.81449
"Elkhart, Elkhart-Morton County Airport (KEHA)",KEHA.rss,KEHA.xml,KS,37,-101.88333
"Emporia, Emporia Municipal Airport (KEMP)",KEMP.rss,KEMP.xml,KS,38.32889,-96.19389
Fort Riley - Marshall AAF (KFRI),KFRI.rss,KFRI.xml,KS,39.05586,-96.76166
Garden City Regional Airport (KGCK),KGCK.rss,KGCK.xml,KS,37.9275,-100.72444
"Goodland, Renner Field (KGLD)",KGLD.rss,KGLD.xml,KS,39.3675,-101.69306
"Great Bend, Great Bend Municipal Airport (KGBD)",KGBD.rss,KGBD.xml,KS,38.35,-98.86667
"Hays, Hays Regional Airport (KHYS)",KHYS.rss,KHYS.xml,KS,38.85,-99.26667
"Hill City, Hill City Municipal Airport (KHLC)",KHLC.rss,KHLC.xml,KS,39.37472,-99.82972
Hugoton Municipal Airport (KHQG),KHQG.rss,KHQG.xml,KS,37.16308,-101.37052
"Hutchinson, Hutchinson Municipal Airport (KHUT)",KHUT.rss,KHUT.xml,KS,38.06806,-97.86056
INDEPENDENCE (KIDP),KIDP.rss,KIDP.xml,KS,37.1584,-95.7784
"Lawrence, Lawrence Municipal Airport (KLWC)",KLWC.rss,KLWC.xml,KS,39.00833,-95.21167
"Liberal, Liberal Municipal Airport (KLBL)",KLBL.rss,KLBL.xml,KS,37.05,-100.96667
Lt. William M. Milliken Airport (K13K),K13K.rss,K13K.xml,KS,37.85161,-96.29202
Lyons-Rice County Municipal Airport (KLYO),KLYO.rss,KLYO.xml,KS,38.34025,-98.22856
"Manhattan, Manhattan Municipal Airport (KMHK)",KMHK.rss,KMHK.xml,KS,39.13528,-96.67778
Marysville Municipal Airport (KMYZ),KMYZ.rss,KMYZ.xml,KS,39.8553,-96.6306
McConnell Air Force Base (KIAB),KIAB.rss,KIAB.xml,KS,37.61667,-97.26667
"Medicine Lodge, Medicine Lodge (KP28)",KP28.rss,KP28.xml,KS,37.28389,-98.55278
"Newton, Newton City/County Airport (KEWK)",KEWK.rss,KEWK.xml,KS,38.05,-97.28333
Norton Municipal Airport (KNRN),KNRN.rss,KNRN.xml,KS,39.85047,-99.89469
